epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.180589365959167,"[2e-07, 2e-07]",5.426619391133549,0.4832585433206766,2.6751812219537454
1,5.699653935432434,"[1.0179999999999999e-05, 1.0179999999999999e-05]",5.3294425239470815,0.6903693476009665,2.623403520883673
2,5.3748260021209715,"[2.016e-05, 2.016e-05]",5.30295395283276,0.6731101139109423,2.7269589230238176
3,5.358827376365662,"[3.014e-05, 3.014e-05]",5.293949448490373,0.6558508802209182,2.8477735588539868
4,5.360795474052429,"[4.0119999999999995e-05, 4.0119999999999995e-05]",5.290333327977131,0.7248878149810148,3.3137728684846395
5,5.345904874801636,"[5.009999999999999e-05, 5.009999999999999e-05]",5.278139481595519,1.2081463583016914,5.730065585088022
6,5.322895097732544,"[6.0079999999999994e-05, 6.0079999999999994e-05]",5.222724053873701,2.0711080428028996,8.336209872281671
7,5.233871078491211,"[7.006e-05, 7.006e-05]",4.397285639025814,10.32102174663445,33.87987573351743
8,4.813945627212524,"[8.004e-05, 8.004e-05]",2.6093657650452133,46.13393165343459,77.09699689333793
9,4.385790145397186,"[9.002e-05, 9.002e-05]",1.9468837143801228,58.87124611667242,87.74594408008285
10,4.120268213748932,"[9.97315728730454e-05, 9.97315728730454e-05]",1.4867309674461175,69.62374870555747,92.85467725232999
