epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.946839276482077,"[1e-06, 1e-06]",6.9116125,0.14,0.488
1,6.830348772161147,"[5.09e-05, 5.09e-05]",6.15516,2.352,8.07
2,6.4620240015142105,"[0.0001008, 0.0001008]",5.0262375,10.734,27.192
3,6.120403729233087,"[0.0001507, 0.0001507]",4.25291375,19.742,42.124
4,5.800111789329379,"[0.0002006, 0.0002006]",3.6615825,27.424,52.212
5,5.527276992797852,"[0.0002505, 0.0002505]",3.26223,33.64,59.88
6,5.435999281266156,"[0.00030040000000000004, 0.00030040000000000004]",3.021075,37.932,64.124
7,5.259101858326033,"[0.0003503, 0.0003503]",2.7735725,41.258,67.608
8,5.159340232026343,"[0.0004002, 0.0004002]",2.6597325,43.85,70.078
9,5.102117024215997,"[0.00045010000000000004, 0.00045010000000000004]",2.572461875,45.13,71.442
10,5.096941288779764,"[0.00048800884649231267, 0.00048800884649231267]",2.585925,45.494,71.636
11,4.946537574132283,"[0.00048551578839378526, 0.00048551578839378526]",2.36655375,48.476,74.372
12,4.851567999989379,"[0.0004827952390426216, 0.0004827952390426216]",2.2536475,50.142,76.04
13,4.843269764208326,"[0.0004798498832925754, 0.0004798498832925754]",2.25742375,51.9,77.26
14,4.753462775080812,"[0.0004766826278541748, 0.0004766826278541748]",2.105108125,53.256,78.352
15,4.707552912188511,"[0.0004732965984261501, 0.0004732965984261501]",2.091590625,53.71,78.702
16,4.708527370995166,"[0.00046969513661074654, 0.00046969513661074654]",2.071565625,54.896,79.85
17,4.582032364957473,"[0.0004658817966159662, 0.0004658817966159662]",1.994945,56.354,80.688
18,4.593905402164833,"[0.0004618603417479937, 0.0004618603417479937]",1.96908,56.4,80.91
19,4.490808636534448,"[0.00045763474069726763, 0.00045763474069726763]",1.9384075,57.32,81.448
20,4.53617590081458,"[0.00045320916362186214, 0.00045320916362186214]",1.858728125,58.352,82.06
21,4.538785378138225,"[0.0004485879780320441, 0.0004485879780320441]",1.85667875,59.108,82.902
22,4.491864851876801,"[0.0004437757444800684, 0.0004437757444800684]",1.84034125,59.38,83.012
23,4.423376422302396,"[0.0004387772120594626, 0.0004387772120594626]",1.81322,59.854,83.502
