epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5,time
0,6.136244191063775,"[2e-07, 2e-07]",5.374120826597861,0.5968664511315593,2.661029594628202,1638935198.1754637
1,5.600068533862078,"[1.0179999999999999e-05, 1.0179999999999999e-05]",5.300460667433474,0.5098234270082069,2.5491171350410347,1638935353.679255
2,5.347867877395065,"[2.016e-05, 2.016e-05]",5.276372287677194,0.845560805769709,3.1335488684406863,1638935510.699286
3,5.316133605109321,"[3.014e-05, 3.014e-05]",5.272711817644865,0.845560805769709,3.4692862472021884,1638935667.714563
4,5.314652142701326,"[4.0119999999999995e-05, 4.0119999999999995e-05]",5.272833250435215,0.845560805769709,3.2578960457597614,1638935823.9154487
5,5.310261002293339,"[5.009999999999999e-05, 5.009999999999999e-05]",5.272095910532206,0.845560805769709,3.2330266102959464,1638935980.4229138
6,5.301742253480135,"[6.0079999999999994e-05, 6.0079999999999994e-05]",5.271793785749813,0.845560805769709,3.1584183039045013,1638936137.2785268
7,5.302618291642931,"[7.006e-05, 7.006e-05]",5.270306476933599,0.9823427008206914,3.282765481223576,1638936292.857563
8,5.2957218311451095,"[8.004e-05, 8.004e-05]",5.260133323489182,0.845560805769709,3.4195473762745587,1638936448.7992232
9,5.305245328832556,"[9.002e-05, 9.002e-05]",5.216987767346431,0.895299676697339,5.695100721213628,1638936604.3447294
10,5.266315283598723,"[9.760176929846253e-05, 9.760176929846253e-05]",4.945381473824919,3.0589405620492416,9.35090773439443,1638936759.8252952
11,5.1908578342861595,"[9.710315767875706e-05, 9.710315767875706e-05]",4.4538069665506095,6.77692116388958,24.757523004227803,1638936915.4515297
12,4.882464391213876,"[9.655904780852432e-05, 9.655904780852432e-05]",3.5201218990922656,23.228052723203184,52.27555334493907,1638937070.9755437
13,4.613144097504793,"[9.596997665851508e-05, 9.596997665851508e-05]",2.678834556080577,38.89579706540662,74.04874409350907,1638937227.0077531
14,4.245636657432273,"[9.533652557083496e-05, 9.533652557083496e-05]",2.241763942427257,49.76374036309376,81.78313852275554,1638937382.729706
15,4.166828102535671,"[9.465931968523003e-05, 9.465931968523003e-05]",1.7063385973638399,63.71549365829396,90.0397910967421,1638937538.4667387
16,3.9713183597282127,"[9.393902732214931e-05, 9.393902732214931e-05]",1.4675077425547127,68.47799054961452,92.43969161900024,1638937694.290087
17,3.8348972885696977,"[9.317635932319325e-05, 9.317635932319325e-05]",1.289582960939443,73.57622481969659,93.90698831136534,1638937850.2455528
18,3.803317423220034,"[9.237206834959874e-05, 9.237206834959874e-05]",1.1220681267097736,76.29942800298433,95.20019895548371,1638938005.6731386
19,3.726913814191465,"[9.152694813945352e-05, 9.152694813945352e-05]",1.0340779268216862,77.87863715493658,96.19497637403632,1638938161.445627
20,3.6147018715187356,"[9.064183272437242e-05, 9.064183272437242e-05]",0.9404617457566525,79.8930614275056,97.07784133300174,1638938317.1011503
21,3.3813202646043568,"[8.971759560640882e-05, 8.971759560640882e-05]",0.8524937680691992,81.5593136035812,97.52549117135041,1638938473.3712287
22,3.3760313987731934,"[8.875514889601368e-05, 8.875514889601368e-05]",0.7459605382289853,83.93434469037553,97.91096742103954,1638938629.014162
23,3.3346363968319364,"[8.775544241189252e-05, 8.775544241189252e-05]",0.7670090909444168,84.64312360109426,97.8363591146481,1638938784.316217
24,3.2455097657662852,"[8.671946274364917e-05, 8.671946274364917e-05]",0.7393708664278165,85.78711763242974,98.19696592887341,1638938939.9430048
25,3.1932020628893816,"[8.564823227814083e-05, 8.564823227814083e-05]",0.6977678710208903,85.83685650335737,98.19696592887341,1638939096.034999
26,3.210569249259101,"[8.454280819050575e-05, 8.454280819050575e-05]",0.6847176711910905,85.73737876150211,98.20940064660532,1638939251.7814608
27,3.3369915043866194,"[8.340428140085894e-05, 8.340428140085894e-05]",0.6180482156180055,87.25441432479482,98.40835613031584,1638939407.633427
28,3.077537192238702,"[8.22337754976858e-05, 8.22337754976858e-05]",0.6355369660843074,87.44093509077344,98.63218104949017,1638939563.3241072
29,3.0000074351275408,"[8.103244562899586e-05, 8.103244562899586e-05]",0.6490768436411962,87.30415319572246,98.5078338721711,1638939718.8647995
30,2.9760595515922263,"[7.98014773623312e-05, 7.98014773623312e-05]",0.5784755764657423,87.85128077592638,98.63218104949017,1638939875.07219
31,2.9945657518174915,"[7.854208551475441e-05, 7.854208551475441e-05]",0.5372544264680739,88.39840835613032,98.59487689629445,1638940030.7106285
32,2.8646269551029913,"[7.725551295397084e-05, 7.725551295397084e-05]",0.561893625361384,88.77144988808755,98.69435463814972,1638940187.0785427
33,3.0188439422183566,"[7.59430293717682e-05, 7.59430293717682e-05]",0.5654247694719908,88.58492912210893,98.78139766227306,1638940342.964695
34,3.013822414256908,"[7.460593003098405e-05, 7.460593003098405e-05]",0.5431910327227368,89.15692613777668,98.83113653320069,1638940498.7215135
35,2.6937989702931158,"[7.324553448723779e-05, 7.324553448723779e-05]",0.5173318593011689,89.21909972643621,98.91817955732405,1638940654.466661
36,2.8654901804747404,"[7.186318528668857e-05, 7.186318528668857e-05]",0.548515071266476,89.62944541158916,98.93061427505596,1638940810.2824655
37,2.828346579163163,"[7.046024664110424e-05, 7.046024664110424e-05]",0.5301221929596183,89.66674956478488,98.94304899278787,1638940966.2821934
38,2.946656024014508,"[6.903810308154924e-05, 6.903810308154924e-05]",0.47555211846788736,90.20144242725691,98.91817955732405,1638941122.3118622
39,2.7461403299261025,"[6.759815809201929e-05, 6.759815809201929e-05]",0.4684655436886036,89.80353145983587,98.98035314598359,1638941278.7613783
40,2.7883545645961054,"[6.614183272437242e-05, 6.614183272437242e-05]",0.5112096430264549,90.16413827406117,99.06739617010693,1638941434.4152899
41,2.869104924025359,"[6.467056419592224e-05, 6.467056419592224e-05]",0.46312678141903446,90.28848545138025,99.07983088783885,1638941590.280962
42,2.757201839376379,"[6.318580447107787e-05, 6.318580447107787e-05]",0.44626535274768403,90.76100472519273,99.12956975876648,1638941746.0976546
43,2.6277933915456138,"[6.16890188284306e-05, 6.16890188284306e-05]",0.4913194376981783,90.57448395921412,99.0176572991793,1638941901.7805219
44,2.713592864848949,"[6.0181684414700524e-05, 6.0181684414700524e-05]",0.4585814913598141,91.54439194230291,99.06739617010693,1638942057.5271227
45,2.7408740608780473,"[5.866528878697132e-05, 5.866528878697132e-05]",0.4864873233881497,90.82317831385228,99.06739617010693,1638942213.6286426
46,2.674052362088804,"[5.7141328444650926e-05, 5.7141328444650926e-05]",0.4290523913273673,90.66152698333748,99.04252673464312,1638942369.3202934
47,2.656849004604198,"[5.561130735260721e-05, 5.561130735260721e-05]",0.43159876104552664,91.33300174086048,99.09226560557076,1638942524.7630124
48,2.76560945864077,"[5.407673545693637e-05, 5.407673545693637e-05]",0.442744014334898,91.43247948271575,99.11713504103457,1638942680.8281147
49,2.547509864524559,"[5.253912719482829e-05, 5.253912719482829e-05]",0.4381632355426977,91.49465307137528,99.19174334742601,1638942836.9909294
50,2.5261608318046287,"[5.1000000000000006e-05, 5.1000000000000006e-05]",0.40486560547360734,91.50708778910719,99.1793086296941,1638942992.6400802
