epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.146050119400025,"[1e-06, 1e-06]",5.398184005005178,0.41422160856057993,2.36451501553331
1,5.45762038230896,"[5.09e-05, 5.09e-05]",5.299722773558854,0.5005177770107008,2.623403520883673
2,5.3370147228240965,"[0.0001008, 0.0001008]",5.299608161460132,0.535036244390749,2.657921988263721
3,5.350924110412597,"[0.0001507, 0.0001507]",5.294302295478081,0.5177770107007249,2.7269589230238176
4,5.352811861038208,"[0.0002006, 0.0002006]",5.2827062478425955,0.3624439074905074,3.3482913358646877
5,5.334940838813782,"[0.0002505, 0.0002505]",5.184018488954091,1.7259233690024163,8.163617535381428
6,5.18279001712799,"[0.00030040000000000004, 0.00030040000000000004]",4.098190207542285,13.686572316189162,39.696237487055576
7,4.963949036598206,"[0.0003503, 0.0003503]",3.7731219796341042,15.895754228512255,45.39178460476355
8,4.938152861595154,"[0.0004002, 0.0004002]",3.4013432537970316,23.196410079392475,57.97376596479116
9,4.8876468420028685,"[0.00045010000000000004, 0.00045010000000000004]",3.538567645409044,20.93545046599931,51.24266482568174
10,4.8697216510772705,"[0.000498657864365227, 0.000498657864365227]",3.3425836533482913,23.282706247842597,58.508802209181916
11,4.721874642372131,"[0.0004983763275720971, 0.0004983763275720971]",2.984855022437004,28.667587159130136,63.962720055229546
12,4.787391972541809,"[0.000498068101822047, 0.000498068101822047]",3.308065185968243,25.11218501898516,61.77079737659648
13,4.933284068107605,"[0.0004977332209155036, 0.0004977332209155036]",3.8548808573524336,16.25819813600276,44.235415947531926
14,5.323426079750061,"[0.0004973717215759322, 0.0004973717215759322]",5.318942548325854,0.5177770107007249,2.5543665861235763
15,5.341761565208435,"[0.0004969836434458088, 0.0004969836434458088]",5.3052052770107005,0.5177770107007249,2.4680704176734554
16,5.3344477891921995,"[0.0004965690290822737, 0.0004965690290822737]",5.30387173153262,0.5177770107007249,2.5888850535036245
17,5.334623408317566,"[0.0004961279239524642, 0.0004961279239524642]",5.306155883241284,0.2416292716603383,1.8985157059026578
18,5.323233819007873,"[0.0004956603764285287, 0.0004956603764285287]",5.301847816706938,0.5177770107007249,2.5716258198136
19,5.332194066047668,"[0.0004951664377823218, 0.0004951664377823218]",5.303697790818088,0.5005177770107008,2.5543665861235763
20,5.327206230163574,"[0.0004946461621797824, 0.0004946461621797824]",5.300364601311702,0.5177770107007249,2.4680704176734554
21,5.322143936157227,"[0.0004940996066749931, 0.0004940996066749931]",5.301788488091129,0.5177770107007249,2.5888850535036245
22,5.323660445213318,"[0.0004935268312039243, 0.0004935268312039243]",5.301880177770107,0.44874007594062826,2.5025888850535036
23,5.321813678741455,"[0.0004929278985778609, 0.0004929278985778609]",5.300751585692096,0.5177770107007249,2.5888850535036245
