epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5,time
0,7.234359603179128,"[2e-07, 2e-07]",6.414976823191524,0.1623772022408054,0.8687180319883089,1639283590.883209
1,6.4473108304174325,"[1.0179999999999999e-05, 1.0179999999999999e-05]",6.302499847771373,0.26386295364130874,1.2218884468620606,1639284051.6842077
2,6.300091718372546,"[2.016e-05, 2.016e-05]",6.284084623893805,0.2679223836973289,1.4208005196070472,1639284512.5218875
3,6.296652580562391,"[3.014e-05, 3.014e-05]",6.2772203813834535,0.2435658033612081,1.2908987578144029,1639284972.8007903
4,6.275657954968904,"[4.0119999999999995e-05, 4.0119999999999995e-05]",6.2332929081756925,0.5033693269464967,2.163676219858732,1639285432.821157
5,6.204371766040199,"[5.009999999999999e-05, 5.009999999999999e-05]",5.055765151822684,10.331249492571242,28.103434277827393,1639285892.2838993
6,5.519442922190616,"[6.0079999999999994e-05, 6.0079999999999994e-05]",3.059653641816189,36.69724770642202,67.14703255941644,1639286352.5283296
7,5.041320637652748,"[7.006e-05, 7.006e-05]",2.1705767752395064,55.800925550362486,82.47138102182157,1639286812.842097
8,4.637485168482128,"[8.004e-05, 8.004e-05]",1.7051649032460217,61.58561338003632,88.10181050580499,1639287273.0883653
9,4.5452906081551,"[9.002e-05, 9.002e-05]",1.5650737737984086,65.55167654476799,90.29796216797014,1639287733.7451177
10,4.293780198222713,"[9.760176929846253e-05, 9.760176929846253e-05]",1.3631532035246001,69.2660550471104,91.73094097588698,1639288194.7819712
11,4.172994720308404,"[9.710315767875706e-05, 9.710315767875706e-05]",1.24640566011407,71.68953479055442,93.07867175448567,1639288656.6086528
12,4.127762151391883,"[9.655904780852432e-05, 9.655904780852432e-05]",1.1303527787433019,74.47024438016705,94.3167979215718,1639289118.3051715
13,3.909728244731301,"[9.596997665851508e-05, 9.596997665851508e-05]",1.1833407491931882,75.3267841219873,94.68214662723304,1639289579.7472558
14,3.8769570400840356,"[9.533652557083496e-05, 9.533652557083496e-05]",0.977594800377527,76.91808070270835,95.3438337257449,1639290040.9174716
15,3.7103410394568193,"[9.465931968523003e-05, 9.465931968523003e-05]",0.9634143469772469,77.82333360520084,95.52244864820979,1639290501.6374822
16,3.7694913211621737,"[9.393902732214931e-05, 9.393902732214931e-05]",0.945746589444467,77.22253795752928,95.56710237882601,1639290962.7480361
17,3.769759567160355,"[9.317635932319325e-05, 9.317635932319325e-05]",0.8763339033449704,78.90720143077763,96.23690833806934,1639291424.2368488
18,3.685257237208517,"[9.237206834959874e-05, 9.237206834959874e-05]",0.8715065115795242,79.39433303626122,96.28562149874158,1639291885.9765832
