epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5,time
0,5.6190296649932865,"[3.5e-08, 3.5e-08]",5.493824430445288,0.4832585433206766,2.6751812219537454,1639056565.1461518
1,5.5276658773422245,"[7.0314999999999995e-06, 7.0314999999999995e-06]",5.393285349068002,0.6040731791508457,2.951328960994132,1639056725.6944604
2,5.411800265312195,"[1.4028e-05, 1.4028e-05]",5.315107762340352,0.7248878149810148,2.744218156713842,1639056887.5298605
3,5.379805588722229,"[2.10245e-05, 2.10245e-05]",5.297500647221264,1.1218501898515707,3.589920607525026,1639057049.94776
4,5.361865544319153,"[2.8020999999999998e-05, 2.8020999999999998e-05]",5.2879001984811875,1.259924059371764,4.504659993096307,1639057212.3328354
5,5.343445467948913,"[3.50175e-05, 3.50175e-05]",5.231190132033138,1.5188125647221264,7.507766655160511,1639057374.749405
6,5.290042471885681,"[4.2014e-05, 4.2014e-05]",5.038269653952365,3.986882982395582,14.825681739730756,1639057537.520328
7,5.164977407455444,"[4.90105e-05, 4.90105e-05]",4.350265360717984,15.274421815671385,46.37556092509492,1639057700.5321743
8,4.8613179445266725,"[5.6007e-05, 5.6007e-05]",3.140332402053849,38.76423886779427,72.59233690024163,1639057863.4672048
9,4.4809858202934265,"[6.30035e-05, 6.30035e-05]",2.286348215826717,52.312737314463234,85.00172592336901,1639058026.1434233
10,4.150901031494141,"[6.829554317997872e-05, 6.829554317997872e-05]",1.6653562683379357,66.10286503279255,92.44045564376941,1639058189.4447665
