epoch,train_loss,train_lr,eval_loss,eval_top1,eval_top5
0,6.2315535672845686,"[6e-07, 6e-07]",5.41177430315844,0.4659993096306524,2.5025888850535036
1,5.493030833688012,"[3.0539999999999996e-05, 3.0539999999999996e-05]",5.303980950120815,0.6040731791508457,2.5716258198136
2,5.358077090054272,"[6.047999999999999e-05, 6.047999999999999e-05]",5.296505544528823,0.5005177770107008,2.761477390403866
3,5.346208587687284,"[9.041999999999998e-05, 9.041999999999998e-05]",5.294601635312392,0.5695547117707974,2.657921988263721
4,5.34021453296437,"[0.00012035999999999998, 0.00012035999999999998]",5.286416983085951,0.8802209181912323,3.60717984121505
5,5.331799351595302,"[0.00015029999999999997, 0.00015029999999999997]",5.258351851052813,1.4325163962720056,5.160510873317225
6,5.30532812944708,"[0.00018023999999999994, 0.00018023999999999994]",5.006066350966517,2.7096996893337937,11.253020365895754
7,5.076756456956506,"[0.00021017999999999994, 0.00021017999999999994]",3.545615615291681,23.05833620987228,52.34725578184329
8,4.7305264702455245,"[0.00024011999999999994, 0.00024011999999999994]",2.6021139864515015,35.881946841560236,70.29685881946841
9,4.5298490460543706,"[0.00027005999999999997, 0.00027005999999999997]",2.358603727994477,42.613047980669656,78.4949948222299
10,4.4420632308817165,"[0.00029919471861913617, 0.00029919471861913617]",2.1377718329306177,48.06696582671729,82.32654470141526
11,4.3307198802417615,"[0.00029902579654325824, 0.00029902579654325824]",1.9495753958836728,54.67725232999655,85.64031756989989
12,4.205240773644677,"[0.0002988408610932282, 0.0002988408610932282]",1.796669372411115,56.92095270969969,87.48705557473248
13,4.08082183414602,"[0.00029863993254930217, 0.00029863993254930217]",1.7026234035208836,59.99309630652399,88.574387297204
